location,description
ZOO0001-ES-WAC12GH101-A01,DC Combiner box-String 1
ZOO0001-ES-WAC12GH101-A07,DC Combiner box-String 7
EV_SPARE,คลังอะไหล่เบิกใช้งาน EV
EV_SPARE_01,
ES_STORE_001,
ES_AD_1234,ES_AD_1234
PTG0003-EV-CYA01GN102,CCTV 2
PTG0003-EV-CYA01GN201,NVR
PTG0003-EV-CYA01GN301,SIM for Router
PTG0003-EV-CYA01GU001,UPS
PTG0003-EV-BJB01GH001,Lighting
PTG0004-EV-BTL01GU201,DC Charger 120kW
PTG0004-EV-BTL01GU201-A01,DC Charger Power Module
PTG0004-EV-BTL01GU201-A11,DC Charger Controller
PTG0004-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0004-EV-BTL01GU201-A31,DC Charger Meter
PTG0004-EV-BTL01GU201-A41,DC Charger Filter
PTG0004-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0004-EV-BTL01GU201-A61,DC Charger Contactor
PTG0004-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0004-EV-BTL01GU201-A81,DC Charger SECC
PTG0004-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0004-EV-BTL01GU201-F01,DC Charger DC Fuse
UAT,Location for User User Acceptance Testing
EV_TOOLS,EV Storeroom Tools
UAT0001-EV,EV UAT
EP__,EEE
AMPHAWA001,EleXA PT AMPHAWA 1
๋KKK,597535-Location
PTG0001-EV-UMC01US001,Main Structure
PTG0001-EV-UMC01US002,Parking lot
PTG0001-EV-UMC01GH001,Logo Sign
PTG0001-EV-UMC01BB001,Fire Extinguisher 1
PTG0001-EV-UMC01BB002,Fire Extinguisher 2
PTG0001-EV-AJA01GT001,Transformer
PTG0001-EV-BFA01GH001,MDB
PTG0001-EV-BTL01GU201,DC Charger 120kW
PTG0001-EV-BTL01GU201-A01,DC Charger Power Module
PTG0001-EV-BTL01GU201-A11,DC Charger Controller
PTG0001-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0001-EV-BTL01GU201-A31,DC Charger Meter
PTG0001-EV-BTL01GU201-A41,DC Charger Filter
