location,description
PTG0271-EV-CYA01GN102,CCTV 2
PTG0271-EV-CYA01GN301,SIM for Router
PTG0271-EV-BJB01GH001,Lighting
PTG0272,PTG Lama 3
PTG0272-EV-UMC01US001,Main Structure
PTG0272-EV-UMC01GH001,Logo Sign
PTG0272-EV-UMC01BB002,Fire Extinguisher 2
PTG0272-EV-BTL01GU201-E01,DC Charger HMI
PTG0275-EV-BFA01GH001,MDB
PTG0275-EV-BTL01GU201,DC Charger 150kW
PTG0275-EV-BTL01GU201-A01,DC Charger Power Module
PTG0275-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0275-EV-BTL01GU201-A41,DC Charger Filter
PTG0275-EV-BTL01GU201-A61,DC Charger Contactor
PTG0275-EV-BTL01GU201-A81,DC Charger SECC
PTG0275-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0275-EV-BTL01GU201-E01,DC Charger HMI
PTG0275-EV-CYA01GH001,Consumer Unit
PTG0275-EV-CYA01GN101,CCTV 1
PTG0275-EV-CYA01GN201,NVR
PTG0275-EV-CYA01GU001,UPS
PTG0276-EV,"EVCS Elex @ PTG Rama 2, Km.53"
PTG0251-EV-UMC01US001,Main Structure
PTG0251-EV-UMC01GH001,Logo Sign
PTG0251-EV-UMC01BB002,Fire Extinguisher 2
PTG0251-EV-BFA01GH001,MDB
PTG0251-EV-BTL01GU201-A01,DC Charger Power Module
PTG0251-EV-BTL01GU201-A41,DC Charger Filter
PTG0251-EV-BTL01GU201-A61,DC Charger Contactor
PTG0251-EV-BTL01GU201-A81,DC Charger SECC
PTG0251-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0251-EV-BTL01GU201-E01,DC Charger HMI
PTG0251-EV-CYA01GH001,Consumer Unit
PTG0251-EV-CYA01GN101,CCTV 1
PTG0251-EV-CYA01GN201,NVR
PTG0251-EV-CYA01GU001,UPS
PTG0252-EV,EVCS Elex @ PTG Hang Chat 2
PTG0252-EV-UMC01US002,Parking lot
PTG0252-EV-UMC01BB001,Fire Extinguisher 1
PTG0252-EV-AJA01GT001,Transformer
PTG0252-EV-BTL01GU201,DC Charger 150kW
PTG0252-EV-BTL01GU201-A11,DC Charger Controller
PTG0252-EV-BTL01GU201-A31,DC Charger Meter
PTG0252-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0252-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0252-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0252-EV-BTL01GU201-F11,DC Charger IMD
PTG0252-EV-BTL01GU201-H01,SIM for Charger
PTG0252-EV-CYA01GN001,Router & POE Switch
PTG0228-EV-BTL01GU201-E01,DC Charger HMI
PTG0228-EV-CYA01GN301,SIM for Router
PTG0229-EV-UMC01US002,Parking lot
PTG0229-EV-BTL01GU201-A01,DC Charger Power Module
PTG0229-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0229-EV-CYA01GH001,Consumer Unit
PTG0229-EV-BJB01GH001,Lighting
PTG0230-EV-UMC01BB001,Fire Extinguisher 1
PTG0230-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0230-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0231-EV-AJA01GT001,Transformer
PTG0231-EV-BFA01GH001,MDB
PTG0231-EV-BTL01GU201,DC Charger 150kW
PTG0231-EV-BTL01GU201-A61,DC Charger Contactor
PTG0231-EV-BTL01GU201-H01,SIM for Charger
PTG0231-EV-BJB01GH001,Lighting
PTG0232-EV-UMC01GH001,Logo Sign
PTG0232-EV-BTL01GU201-A11,DC Charger Controller
PTG0232-EV-BTL01GU201-A81,DC Charger SECC
PTG0232-EV-CYA01GN101,CCTV 1
PTG0232-EV-BJB01GH001,Lighting
PTG0233-EV-UMC01BB001,Fire Extinguisher 1
PTG0233-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0233-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0233-EV-CYA01GH001,Consumer Unit
PTG0233-EV-BJB01GH001,Lighting
PTG0234-EV-UMC01BB002,Fire Extinguisher 2
PTG0243-EV-BTL01GU201-H01,SIM for Charger
PTG0244-EV-BTL01GU201-F11,DC Charger IMD
PTG0244-EV-BTL01GU201-H01,SIM for Charger
PTG0244-EV-CYA01GN001,Router & POE Switch
PTG0244-EV-CYA01GN102,CCTV 2
PTG0244-EV-CYA01GN301,SIM for Router
PTG0244-EV-BJB01GH001,Lighting
PTG0245,PTG Nong Khae 5 (Hemaraj Estate)
PTG0245-EV-UMC01US001,Main Structure
PTG0245-EV-UMC01GH001,Logo Sign
PTG0245-EV-UMC01BB002,Fire Extinguisher 2
PTG0245-EV-BFA01GH001,MDB
PTG0245-EV-BTL01GU201-A01,DC Charger Power Module
PTG0245-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0245-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0245-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0245-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0246-EV-CYA01GN102,CCTV 2
PTG0246-EV-CYA01GN301,SIM for Router
PTG0246-EV-BJB01GH001,Lighting
PTG0247,PTG Bang Lamung 11 (Sukhumvit Km.133)
PTG0247-EV-UMC01US001,Main Structure
PTG0247-EV-UMC01GH001,Logo Sign
PTG0247-EV-UMC01BB002,Fire Extinguisher 2
PTG0253-EV-AJA01GT001,Transformer
PTG0253-EV-BTL01GU201-A41,DC Charger Filter
PTG0254-EV-UMC01BB001,Fire Extinguisher 1
PTG0272-EV-BTL01GU201-H01,SIM for Charger
PTG0272-EV-CYA01GH001,Consumer Unit
PTG0274-EV-BTL01GU201-A31,DC Charger Meter
PTG0276-EV-UMC01US002,Parking lot
PTG0276-EV-UMC01BB001,Fire Extinguisher 1
PTG0276-EV-AJA01GT001,Transformer
PTG0276-EV-BTL01GU201,DC Charger 150kW
PTG0276-EV-BTL01GU201-A11,DC Charger Controller
PTG0276-EV-BTL01GU201-A31,DC Charger Meter
PTG0276-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0276-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0276-EV-BTL01GU201-A81,DC Charger SECC
PTG0276-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0276-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0276-EV-BTL01GU201-F11,DC Charger IMD
PTG0276-EV-BTL01GU201-E01,DC Charger HMI
PTG0276-EV-BTL01GU201-H01,SIM for Charger
PTG0276-EV-CYA01GH001,Consumer Unit
PTG0276-EV-CYA01GN001,Router & POE Switch
PTG0276-EV-CYA01GN101,CCTV 1
PTG0276-EV-CYA01GN102,CCTV 2
PTG0276-EV-CYA01GN201,NVR
PTG0276-EV-CYA01GN301,SIM for Router
PTG0276-EV-CYA01GU001,UPS
PTG0276-EV-BJB01GH001,Lighting
PTG0277,PTG Phutthamonthon Sai 4
PTG0277-EV,EVCS Elex @ PTG Phutthamonthon Sai 4
PTG0213-EV-CYA01GN301,SIM for Router
PTG0214-EV-UMC01US002,Parking lot
PTG0214-EV-BTL01GU201-A31,DC Charger Meter
PTG0214-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0214-EV-CYA01GN102,CCTV 2
PTG0215-EV-UMC01BB002,Fire Extinguisher 2
PTG0215-EV-BTL01GU201-A01,DC Charger Power Module
PTG0215-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0215-EV-CYA01GH001,Consumer Unit
PTG0215-EV-BJB01GH001,Lighting
EGT0216-EV-UMC01BB001,Fire Extinguisher 1
EGT0216-EV-BTL01GU201-A31,DC Charger Meter
EGT0216-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0216-EV-CYA01GN102,CCTV 2
PTG0217-EV-BTL01GU201-A81,DC Charger SECC
PTG0217-EV-CYA01GN001,Router & POE Switch
PTG0218-EV-UMC01US002,Parking lot
PTG0218-EV-BTL01GU201-A01,DC Charger Power Module
PTG0218-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0218-EV-CYA01GH001,Consumer Unit
PTG0218-EV-CYA01GN301,SIM for Router
PTG0219-EV-BFA01GH001,MDB
PTG0219-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0219-EV-BTL01GU201-E01,DC Charger HMI
PTG0219-EV-CYA01GU001,UPS
PTG0220-EV-UMC01GH001,Logo Sign
PTG0220-EV-BTL01GU201-A61,DC Charger Contactor
PTG0234-EV-BTL01GU201-A31,DC Charger Meter
PTG0234-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0235-EV-UMC01BB002,Fire Extinguisher 2
PTG0235-EV-BTL01GU201-A31,DC Charger Meter
PTG0235-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0235-EV-CYA01GH001,Consumer Unit
PTG0235-EV-BJB01GH001,Lighting
PTG0236-EV-UMC01BB001,Fire Extinguisher 1
PTG0236-EV-BTL01GU201-A01,DC Charger Power Module
PTG0236-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0237-EV-UMC01BB002,Fire Extinguisher 2
PTG0237-EV-BTL01GU201-A31,DC Charger Meter
PTG0237-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0237-EV-CYA01GN102,CCTV 2
PTG0238-EV,EVCS Elex @ PTG Nakhon Ratchasima 8(The Mall Korat)
PTG0238-EV-BFA01GH001,MDB
PTG0238-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0238-EV-BTL01GU201-H01,SIM for Charger
PTG0238-EV-CYA01GU001,UPS
PTG0239-EV-UMC01GH001,Logo Sign
PTG0239-EV-BTL01GU201-A11,DC Charger Controller
PTG0239-EV-BTL01GU201-A61,DC Charger Contactor
PTG0239-EV-BTL01GU201-H01,SIM for Charger
PTG0239-EV-CYA01GU001,UPS
PTG0240-EV-BTL01GU201-A01,DC Charger Power Module
PTG0240-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0240-EV-CYA01GH001,Consumer Unit
PTG0254-EV-AJA01GT001,Transformer
PTG0254-EV-BTL01GU201,DC Charger 150kW
PTG0254-EV-BTL01GU201-A11,DC Charger Controller
PTG0254-EV-BTL01GU201-A31,DC Charger Meter
PTG0254-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0254-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0254-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0254-EV-BTL01GU201-F11,DC Charger IMD
PTG0254-EV-BTL01GU201-H01,SIM for Charger
PTG0254-EV-CYA01GN001,Router & POE Switch
PTG0256-EV-CYA01GN201,NVR
PTG0256-EV-CYA01GU001,UPS
PTG0257-EV-UMC01GH001,Logo Sign
PTG0257-EV-BTL01GU201-A11,DC Charger Controller
PTG0258-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0258-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0258-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0259-EV-UMC01GH001,Logo Sign
PTG0259-EV-UMC01BB002,Fire Extinguisher 2
PTG0259-EV-BFA01GH001,MDB
PTG0262-EV-BTL01GU201-E01,DC Charger HMI
PTG0262-EV-BTL01GU201-H01,SIM for Charger
PTG0262-EV-CYA01GH001,Consumer Unit
PTG0262-EV-CYA01GN001,Router & POE Switch
PTG0262-EV-CYA01GN101,CCTV 1
PTG0262-EV-CYA01GN102,CCTV 2
PTG0262-EV-CYA01GN201,NVR
PTG0270-EV-UMC01BB002,Fire Extinguisher 2
PTG0270-EV-AJA01GT001,Transformer
PTG0270-EV-BFA01GH001,MDB
PTG0270-EV-BTL01GU201,DC Charger 150kW
PTG0270-EV-BTL01GU201-A01,DC Charger Power Module
PTG0270-EV-BTL01GU201-A11,DC Charger Controller
PTG0270-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0270-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0270-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0270-EV-BTL01GU201-E01,DC Charger HMI
PTG0270-EV-CYA01GH001,Consumer Unit
PTG0270-EV-CYA01GN101,CCTV 1
PTG0270-EV-CYA01GN201,NVR
PTG0270-EV-CYA01GU001,UPS
PTG0271-EV,EVCS Elex @ PTG Pranburi 2
PTG0271-EV-UMC01US002,Parking lot
PTG0271-EV-UMC01BB001,Fire Extinguisher 1
PTG0271-EV-AJA01GT001,Transformer
PTG0271-EV-BTL01GU201,DC Charger 150kW
PTG0271-EV-BTL01GU201-A11,DC Charger Controller
PTG0271-EV-BTL01GU201-A31,DC Charger Meter
PTG0271-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0272-EV-BFA01GH001,MDB
PTG0272-EV-BTL01GU201,DC Charger 150kW
PTG0272-EV-BTL01GU201-A01,DC Charger Power Module
PTG0272-EV-BTL01GU201-A11,DC Charger Controller
PTG0272-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0214-EV,EVCS Elex @ PTG Sam Roi Yot 1
PTG0214-EV-BTL01GU201-A11,DC Charger Controller
PTG0214-EV-BTL01GU201-A81,DC Charger SECC
PTG0214-EV-CYA01GN001,Router & POE Switch
PTG0215-EV,EVCS Elex @ PTG Nong Bun Mak 2
PTG0215-EV-BTL01GU201-A11,DC Charger Controller
PTG0215-EV-BTL01GU201-A81,DC Charger SECC
PTG0215-EV-CYA01GN001,Router & POE Switch
EGT0216-EV-UMC01BB002,Fire Extinguisher 2
EGT0216-EV-BTL01GU201-A41,DC Charger Filter
EGT0216-EV-BTL01GU201-F11,DC Charger IMD
PTG0217,PTG Saphan Sung
PTG0217-EV-BTL01GU201-F11,DC Charger IMD
PTG0217-EV-CYA01GN201,NVR
PTG0218-EV-BTL01GU201-A31,DC Charger Meter
PTG0218-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0218-EV-CYA01GN102,CCTV 2
PTG0219-EV,EVCS Elex @ PTG Khlong Luang 6 (Phahonyothin Road Km. 46)
PTG0219-EV-UMC01US002,Parking lot
PTG0219-EV-BTL01GU201-A01,DC Charger Power Module
PTG0219-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0219-EV-CYA01GN001,Router & POE Switch
PTG0220-EV-UMC01BB002,Fire Extinguisher 2
PTG0220-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0220-EV-BTL01GU201-E01,DC Charger HMI
PTG0220-EV-BTL01GU201-H01,SIM for Charger
PTG0220-EV-CYA01GN301,SIM for Router
PTG0240-EV-BJB01GH001,Lighting
PTG0241-EV-UMC01BB001,Fire Extinguisher 1
PTG0241-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0241-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0241-EV-CYA01GN101,CCTV 1
PTG0241-EV-CYA01GU001,UPS
PTG0242-EV-UMC01US001,Main Structure
PTG0242-EV-BTL01GU201,DC Charger 150kW
PTG0247-EV-BTL01GU201,DC Charger 150kW
PTG0247-EV-BTL01GU201-A11,DC Charger Controller
PTG0247-EV-BTL01GU201-A31,DC Charger Meter
PTG0251-EV,EVCS Elex @ PTG Kaeng Khoi2
PTG0251-EV-UMC01US002,Parking lot
PTG0251-EV-UMC01BB001,Fire Extinguisher 1
PTG0251-EV-AJA01GT001,Transformer
PTG0251-EV-BTL01GU201,DC Charger 150kW
PTG0251-EV-BTL01GU201-A11,DC Charger Controller
PTG0251-EV-BTL01GU201-A31,DC Charger Meter
PTG0251-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0251-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0251-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0251-EV-BTL01GU201-F11,DC Charger IMD
PTG0251-EV-BTL01GU201-H01,SIM for Charger
PTG0251-EV-CYA01GN001,Router & POE Switch
PTG0251-EV-CYA01GN102,CCTV 2
PTG0251-EV-CYA01GN301,SIM for Router
PTG0251-EV-BJB01GH001,Lighting
PTG0262-EV-CYA01GN301,SIM for Router
PTG0262-EV-CYA01GU001,UPS
PTG0262-EV-BJB01GH001,Lighting
PTG0263,PTG Kamphaeng Phet
PTG0263-EV,EVCS Elex @ PTG Kamphaeng Phet
PTG0263-EV-UMC01US001,Main Structure
PTG0263-EV-UMC01US002,Parking lot
PTG0263-EV-UMC01GH001,Logo Sign
PTG0263-EV-UMC01BB001,Fire Extinguisher 1
PTG0263-EV-UMC01BB002,Fire Extinguisher 2
PTG0263-EV-AJA01GT001,Transformer
PTG0263-EV-BFA01GH001,MDB
PTG0263-EV-BTL01GU201,DC Charger 150kW
PTG0263-EV-BTL01GU201-A01,DC Charger Power Module
PTG0263-EV-BTL01GU201-A11,DC Charger Controller
PTG0263-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0263-EV-BTL01GU201-A31,DC Charger Meter
PTG0263-EV-BTL01GU201-A41,DC Charger Filter
PTG0263-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0263-EV-BTL01GU201-A61,DC Charger Contactor
PTG0263-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0263-EV-BTL01GU201-A81,DC Charger SECC
PTG0263-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0263-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0263-EV-BTL01GU201-F11,DC Charger IMD
PTG0263-EV-BTL01GU201-E01,DC Charger HMI
PTG0263-EV-BTL01GU201-H01,SIM for Charger
PTG0269-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0269-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0277-EV-UMC01US001,Main Structure
PTG0277-EV-UMC01US002,Parking lot
PTG0277-EV-UMC01GH001,Logo Sign
PTG0277-EV-UMC01BB001,Fire Extinguisher 1
PTG0277-EV-UMC01BB002,Fire Extinguisher 2
PTG0277-EV-AJA01GT001,Transformer
PTG0277-EV-BFA01GH001,MDB
PTG0277-EV-BTL01GU201,DC Charger 150kW
PTG0277-EV-BTL01GU201-A01,DC Charger Power Module
PTG0277-EV-BTL01GU201-A11,DC Charger Controller
PTG0277-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0277-EV-BTL01GU201-A31,DC Charger Meter
PTG0277-EV-BTL01GU201-A41,DC Charger Filter
PTG0277-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0277-EV-BTL01GU201-A61,DC Charger Contactor
PTG0277-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0277-EV-BTL01GU201-A81,DC Charger SECC
PTG0277-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0277-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0277-EV-BTL01GU201-F11,DC Charger IMD
PTG0277-EV-BTL01GU201-E01,DC Charger HMI
PTG0277-EV-BTL01GU201-H01,SIM for Charger
PTG0277-EV-CYA01GH001,Consumer Unit
PTG0277-EV-CYA01GN001,Router & POE Switch
PTG0277-EV-CYA01GN102,CCTV 2
PTG0214-EV-UMC01US001,Main Structure
PTG0214-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0214-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0214-EV-CYA01GN101,CCTV 1
PTG0215,PTG Nong Bun Mak 2
PTG0215-EV-AJA01GT001,Transformer
PTG0215-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0215-EV-BTL01GU201-E01,DC Charger HMI
PTG0215-EV-CYA01GN301,SIM for Router
EGT0216-EV-UMC01US002,Parking lot
EGT0216-EV-BTL01GU201-A11,DC Charger Controller
EGT0216-EV-BTL01GU201-A81,DC Charger SECC
EGT0216-EV-CYA01GN001,Router & POE Switch
EGT0216-EV-CYA01GU001,UPS
PTG0217-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0217-EV-BTL01GU201-E01,DC Charger HMI
PTG0217-EV-CYA01GN301,SIM for Router
PTG0218,PTG Phra Nakhon Si Ayutthaya 3
PTG0218-EV-AJA01GT001,Transformer
PTG0218-EV-BTL01GU201-A41,DC Charger Filter
PTG0218-EV-BTL01GU201-F11,DC Charger IMD
PTG0219,PTG Khlong Luang 6 (Phahonyothin Road Km. 46)
PTG0219-EV-UMC01BB001,Fire Extinguisher 1
PTG0219-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0219-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0219-EV-CYA01GN102,CCTV 2
PTG0220-EV,EVCS Elex @ PTG Kanchanaphisek Road 2 (km. 53)
PTG0252,PTG Hang Chat 2
PTG0252-EV-UMC01US001,Main Structure
PTG0252-EV-UMC01GH001,Logo Sign
PTG0252-EV-UMC01BB002,Fire Extinguisher 2
PTG0252-EV-BFA01GH001,MDB
PTG0252-EV-BTL01GU201-A01,DC Charger Power Module
PTG0252-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0252-EV-BTL01GU201-A41,DC Charger Filter
PTG0252-EV-BTL01GU201-A61,DC Charger Contactor
PTG0252-EV-BTL01GU201-A81,DC Charger SECC
PTG0252-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0252-EV-BTL01GU201-E01,DC Charger HMI
PTG0252-EV-CYA01GH001,Consumer Unit
PTG0252-EV-CYA01GN101,CCTV 1
PTG0253-EV-UMC01BB001,Fire Extinguisher 1
PTG0253-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0254-EV-UMC01US002,Parking lot
PTG0254-EV-CYA01GN201,NVR
PTG0254-EV-CYA01GU001,UPS
PTG0255-EV,EVCS Elex @ PTG Lat Lum Kaew 6
PTG0255-EV-UMC01US002,Parking lot
PTG0255-EV-UMC01BB001,Fire Extinguisher 1
PTG0255-EV-AJA01GT001,Transformer
PTG0255-EV-BTL01GU201,DC Charger 150kW
PTG0255-EV-BTL01GU201-A11,DC Charger Controller
PTG0255-EV-BTL01GU201-A31,DC Charger Meter
PTG0255-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0263-EV-CYA01GH001,Consumer Unit
PTG0263-EV-CYA01GN001,Router & POE Switch
PTG0263-EV-CYA01GN101,CCTV 1
PTG0263-EV-CYA01GN102,CCTV 2
PTG0263-EV-CYA01GN201,NVR
PTG0263-EV-CYA01GN301,SIM for Router
PTG0263-EV-CYA01GU001,UPS
PTG0263-EV-BJB01GH001,Lighting
PTG0264,PTG Chiang Rai 7
PTG0264-EV,EVCS Elex @ PTG Chiang Rai 7
PTG0264-EV-UMC01US001,Main Structure
PTG0264-EV-UMC01US002,Parking lot
PTG0264-EV-UMC01GH001,Logo Sign
PTG0264-EV-UMC01BB001,Fire Extinguisher 1
PTG0264-EV-UMC01BB002,Fire Extinguisher 2
PTG0264-EV-AJA01GT001,Transformer
PTG0264-EV-BFA01GH001,MDB
PTG0264-EV-BTL01GU201,DC Charger 150kW
PTG0264-EV-BTL01GU201-A01,DC Charger Power Module
PTG0264-EV-BTL01GU201-A11,DC Charger Controller
PTG0264-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0264-EV-BTL01GU201-A31,DC Charger Meter
PTG0264-EV-BTL01GU201-A41,DC Charger Filter
PTG0264-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0264-EV-BTL01GU201-A61,DC Charger Contactor
PTG0264-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0264-EV-BTL01GU201-A81,DC Charger SECC
PTG0228-EV-CYA01GN001,Router & POE Switch
PTG0229-EV-UMC01BB002,Fire Extinguisher 2
PTG0229-EV-BTL01GU201-A31,DC Charger Meter
PTG0229-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0229-EV-CYA01GN102,CCTV 2
PTG0230-EV,EVCS Elex @ PTG Kanchanaphisek 1 km.8
PTG0230-EV-BFA01GH001,MDB
PTG0230-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0231-EV-BTL01GU201-A41,DC Charger Filter
PTG0231-EV-BTL01GU201-F11,DC Charger IMD
PTG0232-EV-UMC01US001,Main Structure
PTG0232-EV-BTL01GU201,DC Charger 150kW
PTG0232-EV-BTL01GU201-A61,DC Charger Contactor
PTG0232-EV-CYA01GH001,Consumer Unit
PTG0232-EV-CYA01GU001,UPS
PTG0233-EV-UMC01GH001,Logo Sign
PTG0233-EV-BTL01GU201-A11,DC Charger Controller
PTG0233-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0233-EV-CYA01GN101,CCTV 1
PTG0234-EV-UMC01US002,Parking lot
PTG0234-EV-BTL01GU201-A01,DC Charger Power Module
PTG0234-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0234-EV-CYA01GH001,Consumer Unit
PTG0234-EV-CYA01GN201,NVR
PTG0235-EV-UMC01US002,Parking lot
PTG0235-EV-BTL01GU201-A01,DC Charger Power Module
PTG0235-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0220-EV-BFA01GH001,MDB
PTG0220-EV-BTL01GU201-A31,DC Charger Meter
PTG0220-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0220-EV-CYA01GN102,CCTV 2
PTG0220-EV-CYA01GU001,UPS
PTG0221-EV,EVCS Elex @ PTG Phitsanulok 3
PTG0221-EV-UMC01US002,Parking lot
PTG0221-EV-UMC01GH001,Logo Sign
PTG0221-EV-AJA01GT001,Transformer
PTG0221-EV-BTL01GU201-A01,DC Charger Power Module
PTG0221-EV-BTL01GU201-A11,DC Charger Controller
PTG0221-EV-BTL01GU201-A41,DC Charger Filter
PTG0221-EV-BTL01GU201-A61,DC Charger Contactor
PTG0221-EV-BTL01GU201-A81,DC Charger SECC
PTG0221-EV-BTL01GU201-F11,DC Charger IMD
PTG0221-EV-BTL01GU201-H01,SIM for Charger
PTG0221-EV-CYA01GN001,Router & POE Switch
PTG0221-EV-CYA01GN201,NVR
PTG0221-EV-CYA01GU001,UPS
PTG0222-EV-UMC01US001,Main Structure
PTG0222-EV-UMC01GH001,Logo Sign
PTG0222-EV-UMC01BB002,Fire Extinguisher 2
PTG0222-EV-BFA01GH001,MDB
PTG0222-EV-BTL01GU201-A01,DC Charger Power Module
PTG0222-EV-BTL01GU201-A31,DC Charger Meter
PTG0222-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0222-EV-BTL01GU201-A81,DC Charger SECC
PTG0255-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0255-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0255-EV-BTL01GU201-F11,DC Charger IMD
PTG0256-EV,EVCS Elex @ PTG Bog Kum 3
PTG0256-EV-UMC01US002,Parking lot
PTG0256-EV-UMC01BB001,Fire Extinguisher 1
PTG0256-EV-AJA01GT001,Transformer
PTG0256-EV-BTL01GU201,DC Charger 150kW
PTG0256-EV-BTL01GU201-A11,DC Charger Auxillary
PTG0256-EV-BTL01GU201-A31,DC Charger Meter
PTG0256-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0256-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0256-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0256-EV-BTL01GU201-F11,DC Charger IMD
PTG0256-EV-BTL01GU201-E01,DC Charger HMI
PTG0256-EV-BTL01GU201-H01,SIM for Charger
PTG0256-EV-CYA01GN001,Router & POE Switch
PTG0256-EV-CYA01GN101,CCTV 1
PTG0256-EV-BJB01GH001,Lighting
PTG0257,PTG Phuttha Bucha Road 1 (So. 4)
PTG0257-EV,EVCS Elex @ PTG Phuttha Bucha Road 1 (So. 4)
PTG0257-EV-UMC01US001,Main Structure
PTG0257-EV-UMC01US002,Parking lot
PTG0257-EV-UMC01BB002,Fire Extinguisher 2
PTG0257-EV-AJA01GT001,Transformer
PTG0257-EV-BFA01GH001,MDB
